Line Item Code,WHOLE FARM,BEEF,SHEEP,DAIRY,PIGS,POULTRY,FORAGE,G5,G6,F1,F2,F3,F4,F5,C1,C1 1,C2,C2 1,C3,C3 1,C4,C5,C5 1,C6,C7,C8,C9,P1,P2,P3,P4,R1,R2,R3,R4,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,FR1,FR2,FR3,FR4,FR5,FR6,FR7,FR8,FR9,FR10,FR11,FR12,FR13,FR14,FR15,FR16,OC1,OC2
results_id,31028705,31028706,31028707,31028708,31028709,31028710,31028711,31028712,31028713,31028714,31028715,31028716,31028717,31028718,31028719,31028720,31028721,31028722,31028723,31028724,31028725,31028726,31028727,31028728,31028729,31028730,31028731,31028732,31028733,31028734,31028735,31028736,31028737,31028738,31028739,31028740,31028741,31028742,31028743,31028744,31028745,31028746,31028747,31028748,31028749,31028750,31028751,31028752,31028753,31028754,31028755,31028756,31028757,31028758,31028759,31028760,31028761,31028762,31028763,31028764,31028765,31028766,31028767,31028768,31028769,31028770,31028771,31028772,31028773,31028774,31028775,31028776,31028777,31028778,31028779,31028780,31028781,31028782,31028783,31028784,31028785,31028786
report_id,30429,30429,30429,30429,30429,30429,30429,30429,30429,30429,30429,30429,30429,30429,30429,30429,30429,30429,30429,30429,30429,30429,30429,30429,30429,30429,30429,30429,30429,30429,30429,30429,30429,30429,30429,30429,30429,30429,30429,30429,30429,30429,30429,30429,30429,30429,30429,30429,30429,30429,30429,30429,30429,30429,30429,30429,30429,30429,30429,30429,30429,30429,30429,30429,30429,30429,30429,30429,30429,30429,30429,30429,30429,30429,30429,30429,30429,30429,30429,30429,30429,30429
farm_area,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lineitem_code,WHOLE_FARM,BEEF,SHEEP,DAIRY,PIGS,POULTRY,FORAGE,G5,G6,F1,F2,F3,F4,F5,C1,C1_1,C2,C2_1,C3,C3_1,C4,C5,C5_1,C6,C7,C8,C9,P1,P2,P3,P4,R1,R2,R3,R4,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,FR1,FR2,FR3,FR4,FR5,FR6,FR7,FR8,FR9,FR10,FR11,FR12,FR13,FR14,FR15,FR16,OC1,OC2
co2_dir_emissions_diesel_kgco2e,153424.9718,16631.70584,10150.8086,124828.6209,1813.836492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
co2_dir_emissions_electricity_kgco2e,92098.96542,0,0,21084.80154,71014.16388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
co2_dir_emissions_other_fuels_kgco2e,17158.0163,0,9259.720481,5396.114416,2502.181402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
co2_dir_emissions_renewable_electricity_kgco2e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
co2_dir_emissions_renewable_heat_kgco2e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
co2_direct_co2_kgco2e,262681.9535,16631.70584,19410.52908,151309.5368,75330.18177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
