results_id,report_id,Year,farm_area,lineitem_code,co2_dir_emissions_diesel_kgco2e,co2_dir_emissions_electricity_kgco2e,co2_dir_emissions_other_fuels_kgco2e,co2_dir_emissions_renewable_electricity_kgco2e,co2_dir_emissions_renewable_heat_kgco2e,co2_direct_co2_kgco2e,co2_dir_ind_emissions_fertiliser_kgco2e,co2_dir_ind_emissions_lime_kgco2e,co2_dir_ind_emissions_biochar_kgco2e,co2_dir_ind_emissions_feed_kgco2e,co2_dir_ind_emissions_bedding_kgco2e,co2_dir_ind_emissions_pesticides_kgco2e,co2_dir_ind_emissions_waste_kgco2e,co2_dir_ind_emissions_refrigerant_losses_kgco2e,co2_dir_ind_emissions_disposal_of_carcasses_kgco2e,co2_dir_ind_emissions_transport_kgco2e,co2_indirect_co2_kgco2e,co2_indirect_co2_kgco2e_sc,co2_total_from_energy_use_kgco2e,co2_total_from_energy_use_kgco2e_sc,methane_enteric_fermentation_feed_digestion_kgco2e,methane_enteric_manure_mgmt_kgco2e,methane_total_kgco2e,nitrous_oxide_vol_inorganic_and_imp_org_man_soil_kgco2e,nitrous_oxide_vol_grazing_dep_man_mgmt_org_man_soil_kgco2e,nitrous_oxide_veg_crop_n_residues_kgco2e,nitrous_oxide_total_kgco2e,carbon_seq_soil_carbon_kgco2e,carbon_seq_biochar_kgco2e,carbon_seq_total_kgco2e,total_co2e_emissions_from_farming_kgco2e,total_co2e_emissions_from_farming_kgco2e_sc,emissions_per_unit_of_output_kgco2e_kg_output,emissions_per_unit_of_output_kgco2e_kg_output_sc,farm_and_enterprise_output_kg,sequestration_by_forestry,sequestration_by_hedges,energy_offset_renewables,net_emissions_from_land_use,net_emissions_from_land_use_sc,emissions_meat_kgco2e,emissions_meat_kgco2e_sc,emissions_wool_kgco2e,emissions_wool_kgco2e_sc,emissions_milk_kgco2e,emissions_milk_kgco2e_sc,emissions_eggs_kgco2e,emissions_eggs_kgco2e_sc,emissions_crop_kgco2e,emissions_crop_kgco2e_sc,emissions_straw_kgco2e,emissions_straw_kgco2e_sc,emissions_per_lu_equivalent_kgco2e_lu,emissions_per_lu_equivalent_kgco2e_lu_sc,emissions_per_unit_of_output_kg_lwt_kgco2e_kg_output,emissions_per_unit_of_output_kg_lwt_kgco2e_kg_output_sc,emissions_per_unit_of_output_kg_dwt_kgco2e_kg_output,emissions_per_unit_of_output_kg_dwt_kgco2e_kg_output_sc,emissions_per_unit_of_output_kg_milk_solids_kgco2e_kg_output,emissions_per_unit_of_output_kg_milk_solids_kgco2e_kg_output_sc,emissions_per_unit_of_output_kg_eggs_kgco2e_kg_output,emissions_per_unit_of_output_kg_eggs_kgco2e_kg_output_sc,emissions_per_unit_of_output_kg_wool_kgco2e_kg_output,emissions_per_unit_of_output_kg_wool_kgco2e_kg_output_sc,emissions_per_unit_of_output_kg_straw_kgco2e_kg_output,emissions_per_unit_of_output_kg_straw_kgco2e_kg_output_sc,emissions_per_adjusted_hectare_kgco2e_ha,emissions_per_adjusted_hectare_kgco2e_ha_sc
29260867,11385,2020,0,WHOLE_FARM,207733.7878,70338.1074,15240.27379,0,0,293312.169,195690.0058,0,0,1757714.195,200565.3,429.2333941,76.7088,0,9653.475,0,2164128.918,2164128.918,2457441.087,2457441.087,2592933.963,1283685.558,3876619.521,184615.6636,628229.8758,108962.1158,921807.6951,3962043.164,0,3962043.164,7255868.303,11217911.47,1.08468591,5.929678345,5729753.857,412404.3,0,0,5073379.338,9037808.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30732.68899,63256.7592
28510076,18882,2020,0,BEEF,6037.323552,966.9,1278.92,0,0,8283.143552,0,0,0,26316.325,33880,0,0,0,0,0,60196.325,60196.325,68479.46855,68479.46855,0,0,0,0,0,61.190514,61.190514,-20812.13456,0,-20812.13456,68540.65907,47728.52451,0,0,5580.69874,0,0,0,0,0,68540.65907,47728.52451,0,0,0,0,0,0,0,0,0,0,1700.760771,1184.330633,6.12089309,4.26230503,12.28173429,8.552428062,0,0,0,0,0,0,0,0,6854.065907,4772.852451
29260869,11385,2020,0,SHEEP,20004.29544,2425.629878,1383.327335,0,0,23813.25266,26372.31636,0,0,35380.96,0,0.174474616,0,0,198.9,0,61952.35083,61952.35083,85765.60349,85765.60349,464483.7167,12310.23962,476793.9563,10957.53428,119398.4388,2234.67678,132590.6498,316969.757,0,316969.757,695150.2097,1012119.967,0,0,39748.3395,0,0,0,0,0,675187.3833,983054.6296,19962.82636,29065.33706,0,0,0,0,0,0,0,0,5015.513778,7302.452862,8.218326545,11.96566191,18.26294788,26.59035981,0,0,0,0,7.186042606,10.46268433,0,0,4361.552594,6350.303007
29260870,11385,2020,0,DAIRY,128287.4368,20759.90207,8913.502187,0,0,157960.8411,91263.02273,0,0,1173630.66,137645.3,117.5295108,0,0,2822.625,0,1405479.137,1405479.137,1563439.978,1563439.978,1996163.058,443282.6596,2439445.718,54842.69416,369824.354,84621.34542,509288.3936,2456384.581,0,2456384.581,4512174.09,6968558.671,0,0,3842409.449,0,0,0,0,0,170843.4685,263849.0249,0,0,4341330.621,6704709.646,0,0,0,0,0,0,8297.79339,12815.03305,2.401173134,3.708348909,4.530515347,6.996884734,1.14104415,1.762217714,0,0,0,0,0,0,14668.58325,22654.0202
28510076,11845,2020,0,PIGS,2052.113544,41490.6459,0,0,0,43542.75944,0,0,0,522386.25,29040,0,76.7088,0,6631.95,0,558134.9088,558134.9088,601677.6682,601677.6682,132287.1879,828092.6588,960379.8466,0,139007.083,0,139007.083,0,0,0,1701064.598,1701064.598,0,0,600535.37,0,0,0,0,0,1701064.598,1701064.598,0,0,0,0,0,0,0,0,0,0,0,0,2.098942176,2.098942176,2.832580199,2.832580199,0,0,0,0,0,0,0,0,0,0
29260872,11385,2020,0,POULTRY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29260873,11385,2020,0,FORAGE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,479.4083623,479.4083623,18426.11624,0,18426.11624,479.4083623,18905.52461,0.005805381,0.228935876,82580,0,0,0,0,0,0,0,0,0,0,0,0,0,479.4083623,18905.52461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116.0330325,4575.776152
29260874,11385,2020,0,G5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29260875,11385,2020,0,G6,1075.303762,9.641358856,74.35898161,0,0,1159.304102,0,0,0,0,0,0,0,0,0,0,0,0,1159.304102,1159.304102,0,0,0,0,0,479.4083623,479.4083623,18426.11624,0,18426.11624,1638.712464,20064.82871,0.019843939,0.242974433,82580,0,0,0,0,0,0,0,0,0,0,0,0,0,1638.712464,20064.82871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116.9673422,1432.179066
29260876,11385,2020,0,F1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
