var_id,variables,measurement_unit,allowed_values,description,comments
1,results_id,N/A,numeric interger,Agrecalc ID code specific to the calculation in a particular column,
2,report_id,N/A,numeric interger,Agrecalc ID code specific to a particular farm and year,
3,Year,year,4 digit year,The year in which the data was calculated for,
4,farm_area,hectares,numeric,The area of farmland,
5,lineitem_code,N/A,character string,The specfic enterprise/sector of the farm that data on each row relates to,
6,co2_dir_emissions_diesel_kgco2e,kgco2e,numeric,Direct emisions from diesel,
7,co2_dir_emissions_electricity_kgco2e,kgco2e,numeric,Direct emisions from electricity,
8,co2_dir_emissions_other_fuels_kgco2e,kgco2e,numeric,Direct emissions from other fuels ,
9,co2_dir_emissions_renewable_electricity_kgco2e,kgco2e,numeric,Direct emissions from renewable energy,
10,co2_dir_emissions_renewable_heat_kgco2e,kgco2e,numeric,Direct emisions from renewable heat,
11,co2_direct_co2_kgco2e,kgco2e,numeric,Total direct emissions,This is the sum of variables 6-10
12,co2_dir_ind_emissions_fertiliser_kgco2e,kgco2e,numeric,Indirect emissions from fertiliser,
13,co2_dir_ind_emissions_lime_kgco2e,kgco2e,numeric,Indirect emissions from lime,
14,co2_dir_ind_emissions_biochar_kgco2e,kgco2e,numeric,Indirect emissions from biochar,
15,co2_dir_ind_emissions_feed_kgco2e,kgco2e,numeric,Indirect emissions from feed,
16,co2_dir_ind_emissions_bedding_kgco2e,kgco2e,numeric,Indriect emissions from bedding,
17,co2_dir_ind_emissions_pesticides_kgco2e,kgco2e,numeric,Indirect emissions from pestcides,
18,co2_dir_ind_emissions_waste_kgco2e,kgco2e,numeric,Indirect emissions from waste,
19,co2_dir_ind_emissions_refrigerant_losses_kgco2e,kgco2e,numeric,Indirect emissions from refrigerant losses,
20,co2_dir_ind_emissions_disposal_of_carcasses_kgco2e,kgco2e,numeric,Indirect emissions from the disposal of carcasses,
21,co2_dir_ind_emissions_transport_kgco2e,kgco2e,numeric,Indirect emissions from transport,
22,co2_indirect_co2_kgco2e,kgco2e,numeric,Total indirect emissions,This is the sum of variables 12-21
23,co2_indirect_co2_kgco2e_sc,kgco2e,numeric,Total indirect emissions - soil carbon,
