variables,measurement_unit,allowed_values,description,comments
results_id,N/A,numeric interger,Agrecalc ID code specific to the calculation in a particular column,
report_id,N/A,numeric interger,Agrecalc ID code specific to a particular farm and year,
Year,year,4 digit year,The year in which the data was calculated for,
farm_area,hectares,numeric,The area of farmland,
lineitem_code,N/A,character string,The specfic enterprise/sector of the farm that data on each row relates to,
co2_dir_emissions_diesel_kgco2e,kgco2e,numeric,Direct emisions from diesel,
co2_dir_emissions_electricity_kgco2e,kgco2e,numeric,Direct emisions from electricity,
co2_dir_emissions_other_fuels_kgco2e,kgco2e,numeric,Direct emissions from other fuels ,
co2_dir_emissions_renewable_electricity_kgco2e,kgco2e,numeric,Direct emissions from renewable energy,
co2_dir_emissions_renewable_heat_kgco2e,kgco2e,numeric,Direct emisions from renewable heat,
co2_direct_co2_kgco2e,kgco2e,numeric,Total direct emissions,
co2_dir_ind_emissions_fertiliser_kgco2e,kgco2e,numeric,Indirect emissions from fertiliser,
co2_dir_ind_emissions_lime_kgco2e,kgco2e,numeric,Indirect emissions from lime,
co2_dir_ind_emissions_biochar_kgco2e,kgco2e,numeric,Indirect emissions from biochar,
co2_dir_ind_emissions_feed_kgco2e,kgco2e,numeric,Indirect emissions from feed,
co2_dir_ind_emissions_bedding_kgco2e,kgco2e,numeric,Indriect emissions from bedding,
co2_dir_ind_emissions_pesticides_kgco2e,kgco2e,numeric,Indirect emissions from pestcides,
co2_dir_ind_emissions_waste_kgco2e,kgco2e,numeric,Indirect emissions from waste,
co2_dir_ind_emissions_refrigerant_losses_kgco2e,kgco2e,numeric,Indirect emissions from refrigerant losses,
co2_dir_ind_emissions_disposal_of_carcasses_kgco2e,kgco2e,numeric,Indirect emissions from the disposal of carcasses,
co2_dir_ind_emissions_transport_kgco2e,kgco2e,numeric,Indirect emissions from transport,
co2_indirect_co2_kgco2e,kgco2e,numeric,Total indirect emissions,
co2_indirect_co2_kgco2e_sc,kgco2e,numeric,Total indrect emissions - soil carbon,
co2_total_from_energy_use_kgco2e,kgco2e,numeric,Total CO2 from energy use,
co2_total_from_energy_use_kgco2e_sc,kgco2e,numeric,Total CO2 from energy use - soil carbon,
methane_enteric_fermentation_feed_digestion_kgco2e,kgco2e,numeric,Methane from enteric fermentation feed digestion,
methane_enteric_manure_mgmt_kgco2e,kgco2e,numeric,Methane from enteric manaure management,
methane_total_kgco2e,kgco2e,numeric,Total methane ,
nitrous_oxide_vol_inorganic_and_imp_org_man_soil_kgco2e,kgco2e,numeric,Nitrous oxide from inorganic and imported organic manure soil,
nitrous_oxide_vol_grazing_dep_man_mgmt_org_man_soil_kgco2e,kgco2e,numeric,"Nitrous oxide from grazing, manure management and organic manure",
nitrous_oxide_veg_crop_n_residues_kgco2e,kgco2e,numeric,Nitrous oxide from vegetation and crop nitrogen resiudes,
nitrous_oxide_total_kgco2e,kgco2e,numeric,Total nitrous oxide,
carbon_seq_soil_carbon_kgco2e,kgco2e,numeric,Soil carbon sequestration,
carbon_seq_biochar_kgco2e,kgco2e,numeric,Biochar carbon sequestration,
carbon_seq_total_kgco2e,kgco2e,numeric,Total carbon sequestration,
total_co2e_emissions_from_farming_kgco2e,kgco2e,numeric,Total co2 emissions from farming,
total_co2e_emissions_from_farming_kgco2e_sc,kgco2e,numeric,Total co2 emissions from farming - soil carbon,
emissions_per_unit_of_output_kgco2e_kg_output,kgco2e,numeric,Emissions per unit of output,
emissions_per_unit_of_output_kgco2e_kg_output_sc,kgco2e,numeric,Emissions per unit of output - soil carbon,
farm_and_enterprise_output_kg,kgco2e,numeric,Emissions from farm and enterprise,
sequestration_by_forestry,kgco2e,numeric,Carbon sequestration from forestry,
sequestration_by_hedges,kgco2e,numeric,Carbon sequestration from hedges,
energy_offset_renewables,kgco2e,numeric,Renewable energy carbon offset,
net_emissions_from_land_use,kgco2e,numeric,Net emissions from land use,
net_emissions_from_land_use_sc,kgco2e,numeric,Net emissions from land use - soil carbon,
